Date,Day_of_Week,Is_Holiday,Holiday_Name,Is_Festival,Festival_Name,Is_Working_Day,Season,Is_Festival_Season,Is_Harvest_Season,Month,Year,Quarter,Repo_Rate,CRR,WPI_Inflation,CPI_Inflation,Money_Supply_Growth,GDP_Growth_Rate,Industrial_Production_Index,Employment_Rate,AP_GSDP,Rice_Production,Cotton_Production,Rice_Price,Credit_Growth
2022-01-01,Saturday,False,,False,,False,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-02,Sunday,False,,False,,False,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-03,Monday,False,,False,,True,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-04,Tuesday,False,,False,,True,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-05,Wednesday,False,,False,,True,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-06,Thursday,False,,False,,True,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-07,Friday,False,,False,,True,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-08,Saturday,False,,False,,False,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-09,Sunday,False,,False,,False,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-10,Monday,False,,False,,True,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-11,Tuesday,False,,False,,True,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-12,Wednesday,False,,False,,True,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-13,Thursday,False,,False,,True,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-14,Friday,False,,True,Sankranti,True,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-15,Saturday,False,,False,,False,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-16,Sunday,False,,False,,False,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-17,Monday,False,,False,,True,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-18,Tuesday,False,,False,,True,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-19,Wednesday,False,,False,,True,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-20,Thursday,False,,False,,True,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-21,Friday,False,,False,,True,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-22,Saturday,False,,False,,False,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-23,Sunday,False,,False,,False,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-24,Monday,False,,False,,True,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-25,Tuesday,False,,False,,True,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-26,Wednesday,True,Republic Day,False,,False,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-27,Thursday,False,,False,,True,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-28,Friday,False,,False,,True,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-29,Saturday,False,,False,,False,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-30,Sunday,False,,False,,False,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-01-31,Monday,False,,False,,True,Winter,False,True,1,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-02-01,Tuesday,False,,False,,True,Winter,False,True,2,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-02-02,Wednesday,False,,False,,True,Winter,False,True,2,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-02-03,Thursday,False,,False,,True,Winter,False,True,2,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-02-04,Friday,False,,False,,True,Winter,False,True,2,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-02-05,Saturday,False,,False,,False,Winter,False,True,2,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-02-06,Sunday,False,,False,,False,Winter,False,True,2,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-02-07,Monday,False,,False,,True,Winter,False,True,2,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-02-08,Tuesday,False,,False,,True,Winter,False,True,2,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-02-09,Wednesday,False,,False,,True,Winter,False,True,2,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-02-10,Thursday,False,,False,,True,Winter,False,True,2,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-02-11,Friday,False,,False,,True,Winter,False,True,2,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
2022-02-12,Saturday,False,,False,,False,Winter,False,True,2,2022,Q1,6.25,4.0,13.85,5.66,8.7,13.5,109.8,45.5,13.89,7.8,1.2,2150,11.2
