date,time,datetime,temperature_c,temperature_f,humidity,weather_condition,weather_code,wind_speed_kmh,wind_direction,pressure,precipitation_mm,cloud_cover,feels_like_c,heat_index_c,dew_point_c,uv_index,visibility_km,is_sunny,is_cloudy,is_rainy
2023-07-14,00:00,2023-07-14 00:00:00,25.0,77.0,60.0,Patchy rain possible,176,19.0,WSW,1006.0,0.1,76.0,27.0,27.0,21.0,1.0,10.0,False,False,True
2023-07-14,01:00,2023-07-14 01:00:00,25.0,77.0,64.0,Cloudy,119,16.0,W,1006.0,0.0,77.0,27.0,27.0,21.0,1.0,10.0,False,True,False
2023-07-14,02:00,2023-07-14 02:00:00,25.0,76.0,67.0,Cloudy,119,17.0,W,1005.0,0.0,81.0,27.0,27.0,21.0,1.0,10.0,False,True,False
2023-07-14,03:00,2023-07-14 03:00:00,24.0,76.0,69.0,Partly cloudy,116,15.0,W,1006.0,0.0,31.0,26.0,26.0,21.0,1.0,10.0,False,True,False
2023-07-14,04:00,2023-07-14 04:00:00,25.0,76.0,71.0,Partly cloudy,116,19.0,W,1006.0,0.0,44.0,26.0,26.0,21.0,1.0,10.0,False,True,False
2023-07-14,05:00,2023-07-14 05:00:00,25.0,77.0,73.0,Partly cloudy,116,19.0,W,1007.0,0.0,27.0,27.0,27.0,20.0,1.0,10.0,False,True,False
2023-07-14,06:00,2023-07-14 06:00:00,25.0,78.0,74.0,Patchy rain possible,176,18.0,W,1008.0,0.1,72.0,27.0,27.0,20.0,6.0,10.0,False,False,True
2023-07-14,07:00,2023-07-14 07:00:00,26.0,79.0,70.0,Patchy rain possible,176,17.0,W,1008.0,0.1,86.0,28.0,28.0,20.0,6.0,10.0,False,False,True
2023-07-14,08:00,2023-07-14 08:00:00,27.0,81.0,64.0,Sunny,113,21.0,W,1008.0,0.0,24.0,29.0,29.0,20.0,7.0,10.0,True,False,False
2023-07-14,09:00,2023-07-14 09:00:00,29.0,83.0,57.0,Patchy rain possible,176,22.0,W,1008.0,0.1,79.0,30.0,30.0,19.0,6.0,10.0,False,False,True
2023-07-14,10:00,2023-07-14 10:00:00,30.0,86.0,52.0,Patchy rain possible,176,22.0,W,1008.0,0.1,73.0,31.0,31.0,19.0,6.0,10.0,False,False,True
2023-07-14,11:00,2023-07-14 11:00:00,30.0,86.0,46.0,Patchy rain possible,176,21.0,W,1007.0,0.1,86.0,31.0,31.0,21.0,7.0,10.0,False,False,True
2023-07-14,12:00,2023-07-14 12:00:00,31.0,88.0,43.0,Partly cloudy,116,20.0,W,1007.0,0.0,30.0,32.0,32.0,21.0,8.0,10.0,False,True,False
